#星辰双拼专用简码（由 abbrev.txt 按星辰声母键重映射）
au	软件\t人家\t仍旧
at	染色\t热死
ad	认识\t入手\t瑞士\t仍是
ax	染发\t润肤\t人防
df	时候\t伤害\t生活\t社会
tf	搜狐\t撒谎
du	时间\t数据\t收集\t生姜
tu	撒娇
td	算术\t扫射\t撒手
tg	三个\t四个\t送给
ts	俗称\t赛场\t送出
ta	虽然\t骚扰\t酸软
te	随着\t三种\t赛制
tt	搜索\t色素\t算算
tz	丧偶\t孙儿
tx	算法\t缩放\t三方
ls	填充\t特长\t弹出
la	突然\t他人\t太热
le	体制\t途中\t太重
lf	体会\t太好\t桃花
lu	条件\t投机\t囤积
lp	图片\t投票\t逃跑
ld	听说\t特殊\t跳水
lz	胎儿\t天鹅\t徒儿\t图案\t天啊\t疼爱
lg	提高\t团购\t特工
lc	推测\t特此\t搪瓷
lm	他们\t她们\t它们
lt	特色\t投诉\t推送
lr	挺快\t推开\t偷窥
lv	帖子\t天子\t毯子
lj	同样\t天涯\t体育
dx	身份\t双方\t上方
dg	身高\t说过\t帅哥
di	上来\t说了\t设立
de	甚至\t说着\t谁知
dv	傻子\t涉足\t绳子
dz	首尔\t少儿\t税额\t涉案\t上岸\t是啊
ds	时常\t少吃\t说出
da	生日\t双人\t烧肉
dj	使用\t属于\t上演
dr	上课\t水库\t收看
dw	水位\t说完\t奢望
dk	收到\t受到\t说道
eg	这个\t中国\t整个
ei	这里\t周六\t赚了
ed	正是\t只是\t只剩\t忠实
et	折算\t撞死
ew	周围\t这位\t追尾
es	找出\t忠诚\t追查
ea	找人\t准入\t折让
ev	正在\t站在\t桌子
er	状况\t这款\t展开
ez	这儿\t中俄\t钟爱\t这啊\t专案
ef	只会\t正好\t账号
ee	这种\t真正\t战争
eu	直接\t专家\t洲际
ek	知道\t这点\t终点
ex	中方\t政府\t支付
wg	外观\t我国\t违规
wu	挖掘\t稳健\t旺季
wx	无非\t微风\t歪风
wf	外汇\t往后\t文化
ht	吓死\t形似\t血色
hs	行程\t学成\t形成
hp	行骗\t吓跑\t新品
ha	显然\t形容\t血肉
ho	想念\t匈奴\t学年
hy	下去\t象棋\t秀气
hh	谢谢\t想想\t休息
hm	下面\t学名\t熊猫
hd	小时\t学生\t虚实
jf	要好\t迎合\t圆滑
jt	意思\t有所\t也算
jd	于是\t原始\t钥匙
jl	樱桃\t液态\t犹太
jv	样子\t原则
jz	婴儿\t冤案
ja	圆润\t萦绕\t有人
jj	一样\t应用\t意义
jn	一般\t月报\t样本
vg	最高\t足够\t糟糕
vf	最后\t做好\t走好
vt	走私\t再三\t作祟
ve	阻止\t增长\t尊重
vv	坐在\t最早\t足足
vx	字符\t总分\t罪犯
va	自然\t责任\t早日
vs	组成\t作出\t走出
vd	则是\t走势\t暂时
vz	最爱\t阻碍\t作案\t总额\t罪恶
zzz	啊啊啊\t哦哦哦
zkk	啊对对\t矮墩墩
zki	奥地利\t按道理\t暗地里
zkm	奥达曼
zgk	按规定\t二哥大
zfe	爱好者
zuk	安静的\t安静点\t二季度\t而降低
zig	安了个
zif	安理会\t阿喽哈\t阿里汉
zit	爱丽丝\t安乐死\t俄罗斯\t二〇三\t二〇四
ziw	安乐窝\t埃里温\t二〇五
zyk	安全带\t安全的
zyr	安全裤
zlm	奥特曼
zek	挨着的
zhh	爱学习\t二象性\t耳下腺
zjf	奥运会\t哎呦呵\t爱一行
nzy	不安全\t宝安区
nnn	不不不\t别别别
nnr	不包括\t比比看\t背包客
nni	比不了\t巴比伦\t八百里
nnm	帮帮忙\t把把脉\t白帮忙
nno	并不能\t八百年
nnp	抱不平
nnd	并不是\t比不上\t摆摆手
nne	憋不住\t绷不住\t保不住
nnv	半辈子\t拜把子\t包包子
ncv	不存在
nkz	不对啊\t半点儿\t半道儿
nkn	不得不\t不达标
nkk	不单单\t不动点\t不对的
nkx	贝多芬\t白癜风
nkg	白大褂
nkf	本地化\t北戴河\t北大荒
nks	不动产\t不对称\t白帝城
nku	不对劲\t被大家
nki	不得了\t背地里\t不打了
nkm	帮倒忙
nky	不定期\t冰冻期\t本地区
nka	本地人\t班得瑞
nkt	不打算\t被打死\t变电所
nkl	半导体\t不对头
nkd	表达式
nkw	本单位\t不倒翁\t不等我
nkh	北斗星\t不动心\t不得行
nkj	不等于\t不得已\t不答应
nzg	巴尔干
nzf	北二环
nzs	板儿车
nzu	白垩纪
nzr	波尔卡
nzo	伯尔尼\t包二奶
nzh	不二心\t白矮星
nxg	避风港
nxi	爆发力\t百分率
nxp	捕风瓶
nxy	播放器\t不服气\t别放弃
nxd	比方说
nxh	不放心\t暴风雪\t被发现
ngz	并购案\t冰棍儿\t饱嗝儿
ngi	办公楼\t不归路\t不管了
ngo	不给你\t布谷鸟
ngp	不公平
ngy	办公区
nga	被告人
nge	办公桌\t半个钟
ngj	半个月\t不管用\t不甘于
nfz	不会啊
nfr	报户口
nfi	不合理\t不回来\t捕获量
nfo	薄荷脑\t不好弄
nfy	保护区\t不合群\t不回去
nfh	不和谐\t保护性
nfv	不会再
nsi	不出来\t不成立
nun	笔记本
nur	不健康
nuo	比基尼\t比较难
nuy	编辑器\t不久前\t报警器
nud	北京市\t绊脚石\t毕竟是\t不就是
nri	不考虑\t伯克利\t包括了
nro	不可能\t不可逆
nry	不客气
nrh	不科学\t不开心
nis	暴露出\t玻璃窗\t碧螺春
niu	不了解\t不理解\t八路军
nip	玻璃瓶\t舶来品\t菠萝啤
nil	便利贴\t柏拉图\t巴雷特
nie	避雷针\t玻璃珠\t八里庄
nih	不理想\t玻璃心\t波浪形
niv	半拉子\t冰溜子\t伯利兹
noz	不能啊
nor	不能看
noj	不能有\t不能用\t保暖衣
nov	白娘子\t不能在
npz	保平安
npk	不平等
npg	变频管
npf	不平衡\t白平衡\t不配合
nps	不排除\t不平常\t不排斥
npi	被骗了
npo	不骗你
npp	不匹配
npy	变频器
npd	白皮书\t不怕事
nyn	表情包
nyz	白求恩
nyx	版权法
nyg	不奇怪\t版权归\t补墙膏
nyf	搬迁户
nys	不清楚\t不牵扯
nyu	闭区间\t白切鸡\t版权局
nyi	比起来\t冰淇淋\t不去了
nyo	并且能\t比丘尼
nyd	并且是
nyj	标签页\t不起眼\t不情愿
nac	百日草
nak	不人道\t别人的\t不认得
naf	白热化\t百日红
nau	别人家
nar	被认可
nai	不入流
nam	白日梦\t白日门
nao	不然呢\t不惹你
nay	哺乳期\t不让去
nad	比如说\t不如说\t不认识
naw	不认为
naj	不容易\t不如意
ndn	不是吧\t不上班
ntn	比萨饼
ndk	不是的\t波士顿\t不舍得\t辨识度
ntk	波塞冬
ntz	贝赛尔
ndg	不是个
ntg	变速杆
nti	变色龙
ndm	不是吗
ndd	不是说\t办实事
ntd	不算数\t不算事
nlz	变态啊\t白天鹅\t摆摊儿
nln	比特币
nlk	不同的\t不停地\t标题党
nlf	不太好\t本土化\t不太会
nlr	不痛快
nli	拜托了\t别提了\t标题栏
nlh	不太行\t不太像\t扁桃腺
nlj	不同于\t不同意\t不统一
ndf	不适合\t不说话\t博士后\t不是很
ndi	不说了\t不少了\t伴手礼
ndy	半衰期\t保税区
nez	编者按
nen	标准版
nek	不知道\t不值得\t不着调
ndx	不舒服\t标识符
neg	把这个\t包装工
nef	标准化\t包装盒
nes	不支持\t标准差\t不正常
ner	标准库
nei	板着脸\t备注栏
nep	标志牌
ney	不正确\t不值钱\t保质期
nea	班主任\t保证人
nel	拜占庭\t不中听\t不折腾
ned	本质上\t不只是\t保证书
nee	标志着\t标准值
new	不指望\t杯中物\t标志物
neh	标志性\t半炷香\t不珍惜
nej	不至于\t不重要\t别这样
nwn	保温杯
nwk	不稳定\t北温带\t保温袋
nwz	不玩儿\t鲍威尔
nwg	博物馆
nwi	备忘录
nwo	不为难
nwp	保温瓶
nwy	不完全\t包围圈\t抱委屈
nhz	不行啊
nhk	不晓得\t保险单\t不行的
nhx	保险费\t不相符\t变戏法
nhf	不喜欢\t不像话\t不稀罕
nhs	表现出\t不相称\t别瞎扯
nhu	步行街\t保险金\t变形记
nhr	必修课\t保修卡
nhi	不行了\t表现力\t不限量
