#星辰双拼专用简码（由 abbrev.txt 按星辰声母键重映射）
wvm	外祖母\t我怎么
wvy	五子棋\t我再去
wvh	晚自习\t我最想
hzd	西安市\t性暗示\t形而上
hnx	想办法\t西北风
hns	想不出\t下半场
hnl	想不通\t行不通
hne	闲不住\t新标准
hnv	下辈子\t小本子
hcn	下次吧
hcu	下次见\t性刺激
hci	写错了\t新材料
hcm	小聪明\t向侧面
hch	瞎操心\t修辞学
hkk	小弟弟\t吸顶灯\t响当当
hkx	小地方\t新东方
hkg	信得过\t相当高
hkf	现代化\t闲得慌
hku	洗涤剂\t向大家
hkr	想得开\t希丁克
hkj	相当于\t相对于
hkm	想得美\t写代码
hka	许多人\t想当然
hkw	现代文\t小动物
hkh	相对性\t新东西
hzk	希尔顿\t谢耳朵
hzu	小而精\t现而今
hzr	小儿科\t修尔克
hzh	形而下\t湘鄂西
hxz	媳妇儿\t消费额
hxs	消防车\t悬浮窗
hxu	兴奋剂\t斜方肌
hxp	消费品\t先锋派
hxd	洗发水\t消费税\t想法是
hxe	消费者\t新发展
hxh	新发现\t兴奋性\t消费型
hxj	消防员\t悬浮液\t学法语
hgn	修改版\t徐根宝
hgc	小高层\t香根草
hgk	香港岛\t西工大
hgx	下功夫\t闲工夫\t下工夫
hgs	性高潮\t小高潮
hgu	膝关节\t洗干净
hgh	习惯性\t相关性
hgj	习惯于\t下个月
hgv	下馆子\t小个子\t洗个澡
hfk	信号灯\t小红点\t消化道
hff	笑呵呵\t笑哈哈\t小混混
hfm	喜欢吗\t消化酶\t小红帽
hfo	喜欢你\t瞎胡闹
hfe	绣花针\t向后转\t喜欢着
hfh	下划线\t绣花鞋\t小户型
hsy	吸尘器\t小插曲
huk	现阶段\t先进的
huf	小家伙\t戏剧化\t相结合
hus	小轿车\t洗剪吹\t小剧场
hur	小金库\t新街口
hui	下结论\t下脚料\t现金流
hup	新加坡\t喜剧片
huy	陷进去\t选举权\t小技巧
hul	心绞痛\t小家庭
huj	相较于\t新纪元\t喜加一
hmf	瞎忙活\t笑面虎\t项目会
hpo	橡皮泥\t小胖妞
hyl	星期天\t像其他
htx	像素风\t泄私愤\t刑诉法
htp	小算盘\t小碎片
hta	性骚扰\t吓死人
hlu	习题集\t下台阶
hly	小提琴\t心疼钱
hdy	显示器\t小事情
hen	修正版\t袖珍本\t新宙邦
hek	想知道\t谐振动\t显著的
hez	下周二\t修正案
hef	瞎指挥\t修正后
heu	新专辑\t新主机
hei	下周六\t限制了
hem	西直门\t下周末\t徐志摩
hey	行政区\t薛之谦
hea	下周日\t系主任
het	下周三\t下周四\t行者孙
hew	下周五\t学中文
hej	下周一\t悬浊液\t像这样
hwf	下午好\t相吻合
hws	下午茶\t相位差
hwu	洗碗机\t显微镜
hwh	新文学\t想问下\t新闻学
hwj	夏威夷\t希望有
hhg	吸血鬼\t新鲜感
hhi	想象力\t信息量\t新西兰
hhh	笑嘻嘻\t小行星
hju	洗衣机\t西游记\t巡洋舰
hjo	下一年\t需要你
hja	吸引人\t嫌疑人
hjd	下意识\t协议书\t学艺术
hvu	现在就\t写字间
hvm	瞎琢磨\t学子们
hvy	协奏曲\t选择权
hva	闲杂人\t西藏人\t学做人
hvl	选择题\t写字台\t现在他
hvh	选择性\t新泽西
jnx	一部分\t有部分
jnf	也不会\t也不好
jna	要不然\t一般人
jnv	一辈子\t也不在
jks	一大串\t运动场\t有多长
jkp	一大批\t一大片
jkt	胰岛素\t亚当斯
jkl	冤大头\t阅读题
jkw	亚丁湾\t原单位
jxf	一幅画\t一番话\t一分货
jxr	预付款\t要分开
jxi	引发了\t亚非拉\t与法律
jxj	依附于\t有反应
jxv	一分子\t遗腹子\t要放在
jgn	一个班\t夜光表\t应该把
jgc	一个词\t应该从
jgk	一锅端\t荧光灯\t阳关道
jgz	压根儿\t伊戈尔
jgx	硬功夫\t一公分\t杨贵妃
jgf	一锅烩\t应该会
jgm	一个梦\t有购买
jgp	荧光屏\t预告片
jge	一锅粥\t一个钟\t有各种
jfd	一回事\t印花税\t也还是
jfe	与会者\t蕴含着
jry	一口气\t一块钱
jre	眼看着\t一刻钟\t要控制
jic	一两次\t有两次
jix	医疗费\t有裂缝
jis	一连串\t游乐场\t一辆车
jiu	一两句\t羽量级\t养老金
jir	伊拉克\t语料库
jio	一两年\t阳历年\t原谅你
jiy	娱乐圈\t一连气\t有了钱
jit	叶绿素\t一两岁\t有类似
jil	一两天\t叶绿体\t有两条
jiw	阎罗王\t议论文\t原谅我
jih	娱乐性\t依赖性\t医疗险
jmc	益母草\t油麦菜\t芽苗菜
jmk	一面倒\t烟幕弹\t有名的
jmz	爷们儿\t有门儿
jmf	雅马哈\t妖魔化\t一抹黑
jmu	牙买加\t也没见\t衣帽间
jmm	一幕幕\t有眉目\t影迷们
jmy	羽毛球\t一毛钱
jma	虞美人\t野蛮人
jmd	一码事\t也没事
jme	一秒钟\t夜明珠\t有某种
jmh	亚马逊\t严密性\t有明显
jmv	要面子\t夜猫子\t亚麻籽
jou	一年级\t伊能静
jod	云南省\t应纳税
jpg	压迫感\t一屁股
jpi	有魄力\t有评论
jpm	一平米\t油泼面\t一匹马
jpp	一片片\t与品牌
jpj	硬碰硬\t有朋友
jyk	优缺点\t有趣的
jyx	右前方\t有启发
jyf	邀请函\t运气好
jyu	元器件\t油漆匠\t一切皆
jyr	眼前亏\t一千块
jyo	要求你\t一千年
jyy	雨凄凄\t一起去
jyj	有求于\t与企业
jau	愚人节\t有人叫
jti	以色列\t伊斯兰
jtd	也算是\t意思是
jen	圆珠笔\t硬指标\t一直被
jex	一阵风\t由政府
jef	一枝花\t一周后
jeu	邮政局\t有主见\t抑制剂
jei	意志力\t圆周率\t硬着陆
jem	验证码\t一周目\t有这么
jee	一阵阵\t眼睁睁\t有这种
jev	一阵子\t一直在
jwn	英文版\t义务兵\t因为被
jwg	一万个\t义务工\t英文歌
jwu	源文件\t与外界
jwr	依我看\t一万块
jwm	英文名\t与我们
jwo	一万年\t因为你
jwl	有问题\t因为他
jww	洋娃娃\t鱼尾纹\t因为我
jwj	业务员\t因为有
jhn	一小半\t也许吧\t游戏本
jhx	右下方\t优选法\t有想法
jhi	影响力\t一系列\t印象里
jhm	音形码\t游戏吗
jht	预选赛\t亚硝酸\t有相似
jhl	游戏厅\t一席谈\t有相同
jhe	印象中\t游戏中
jhw	一下午\t也希望
jhh	一下下\t有效性\t有信心
jhj	医学院\t亚细亚\t一向以
jjx	一月份\t有一份
jjg	有一个\t优越感
jvo	原子能\t又怎能
jvv	一座座\t一字字
vns	做不出\t在保持
vno	总不能\t在半年
vna	再不然\t再比如
vne	坐不住\t遭不住\t坐标轴
vnj	赞比亚\t在毕业
vkx	最低分\t在对方
vzg	昨儿个\t罪恶感
vxu	字符集\t坐飞机
vgz	自个儿\t最高额
vgx	最高分\t最高峰\t早高峰
vgl	栽跟头\t坐高铁
vfk	杂货店\t最坏的\t最好的
vfg	自豪感\t在韩国
vfu	组合键\t最后就
vsy	走出去\t在初期
vrv	钻空子
vik	自留地\t在伦敦
vis	脏乱差\t在临床
vii	紫罗兰\t走廊里
vid	自来水\t在路上
vms	怎么成
vmr	怎么看\t子母扣\t在门口
vmp	怎么破\t怎么跑
vml	自媒体\t在媒体
vmw	怎么玩\t在门外
vod	怎能说\t在那时
voh	灾难性\t走内线\t做哪些
vpv	左撇子\t嘴皮子
vyx	左前方\t在前方
vag	责任感\t自然光
vli	糟蹋了\t在讨论
vly	遭天谴\t昨天去
vld	总体上\t在台上
vdh	暂时性\t杂食性\t在水下
ved	增值税\t杂志社
vwi	走弯路\t在未来
vwd	走为上\t在网上
vwe	做文章\t造物主\t在文章
vwh	紫外线\t再往下
vhx	左下方\t在西方
vhf	最喜欢\t最小化\t总喜欢
vhu	左下角\t增效剂\t最先进
vho	早些年\t在校内
vhd	在校生\t咨询师
vhh	自信心\t醉醺醺\t脏兮兮
vjf	自由化\t最优化\t在银行
vjy	在一起\t在眼前
vjd	早已是\t左右手\t最原始
hfdp	小鹤双拼
hfjh	小鹤音形
kyuk	当且仅当
egie	治国理政
kkw	敌敌畏\t东帝汶
kyl	大晴天\t大前提
zyw	恶趣味
rko	卡迪娜
rku	肯德基\t看得见
izo	恋爱脑
mag	魔然改
prp	扑克牌
tgd	三国杀
lip	太离谱
eag	转人工\t主人公
ehr	真辛苦
evm	这怎么
wpf	唯品会
wak	无人岛
www	我问问\t呜呜呜\t万维网
hft	猩红色
hry	辛苦钱
hio	希腊奶
vax	自然辅
zpu	安培计
nnk	巴不得\t办不到\t保不定
cpu	磁偏角
cjj	餐饮业
zuewu	二进制文件
xpu	发泡剂
xwd	服务社
fis	火轮船
uig	机灵鬼
ueo	就只能
ref	客制化
ixx	乱纷纷
iwi	来晚了\t烂尾楼
mayrh	默认情况下
may	卖人情
ohh	内向型
dmo	什么呢
ttk	三四点
tjn	缩印本
dpu	食品街
ezn	中二病
eum	炸酱面
elj	正投影
ehh	中小型
ejs	制药厂\t制衣厂
huz	心劲儿
jdf	有时候\t于是乎
jwf	有文化\t亚文化
jwi	员外郎
zkd	爱迪生\t二段式
zzl	阿尔泰
zxz	爱范儿
zgy	熬过去
zgh	爱国心
zfy	安魂曲
zfa	安徽人
zss	暗沉沉
zsv	阿昌族
zux	安家费
zuu	安监局
zri	安卡拉
ori	拗口令
zrm	奥卡姆
zmn	阿米巴
zmz	埃米尔
zmu	凹面镜\t二面角
zmo	阿玛妮
zma	澳门人
zpd	安排上
zyn	安全部
zyz	安琪儿
zyx	安全阀
zym	安全门
zyl	安全套
zyj	爱奇艺
zav	熬日子
ztl	奥斯汀
zlp	阿托品
zdh	按顺序
zep	安装盘
zwu	安慰剂
zww	艾窝窝
zhn	癌细胞
zht	氨溴索
zjc	奥运村
nzv	保安族
nnc	八宝菜
nnz	宝贝儿
nnx	背包袱
nng	比不过
nna	半边人
nnw	北部湾
ncl	波茨坦
nxn	不方便\t百分百\t百分比
nxk	百分点
nxz	变法儿
nxa	本分人
nxe	百分之\t并发症
ngn	不敢不
ngx	笨功夫
ngg	不过关
ngf	报告会
ngu	白骨精\t不干胶
ngl	包工头\t办公厅
ngd	办公室\t不过是
ngw	别管我
ngh	不甘心\t不高兴\t被告席
ngv	笔杆子\t半个字
nfc	保护层
nfk	北海道
nfx	病号饭
nfg	不合格\t背黑锅
nfm	巴哈马
nfp	保皇派
nfa	不好惹
nft	不划算\t保护伞
nfd	不合适\t不好说
nfe	被害者
nfw	白话文
nsp	半成品
nuc	保健操
nuk	不见得\t不觉得
nug	不及格
nus	捕鲸船
nuu	不仅仅
nui	不见了\t冰激凌
num	不结盟
nup	保健品
nua	不尽然\t北京人
nue	八进制
nrm	宝可梦
nrp	不靠谱
nrd	不愧是\t白开水
niz	鼻梁儿
nio	不理你\t百灵鸟
nmk	白名单
nmz	白木耳
nmx	白米饭
nmg	闭门羹
nmm	白茫茫
nmy	罢免权
nme	不买账\t北美洲
nmh	保密性
non	不能不
nok	本年度
nox	不耐烦
nom	巴拿马
nol	编年体
npc	半瓶醋
npl	爆破筒
npv	爆破组
naa	不让人\t不认人\t不饶人
nah	必然性\t包容性
ntu	波斯菊
ntm	俾斯麦
nty	变速器
ntt	白森森
ntv	卜算子
nlo	拜托你
ndj	不适应
neo	表侄女
nev	不知足
nwc	霸王餐\t保温层
nwf	不外乎
nwu	拜物教
nwr	保卫科
nwm	半文盲
nww	别问我\t不枉我\t布娃娃
nwj	博物院
nhc	包心菜
nha	保险人
njf	边缘化
njs	表演唱
njt	表演赛
nve	编组站
czf	残奥会
cnn	蚕宝宝
cnl	猜不透
cca	草苁蓉
ckn	测电笔
ckk	粗墩墩
cku	磁带机
ckv	草垫子
czc	刺儿菜
cxp	裁缝铺
cxv	凑份子
cgl	参观团
cge	磁共振
cgj	磁感应
cfp	彩虹屁
cfh	词汇学
css	存车处
csr	存储卡
cup	促进派
cua	残疾人
cut	葱姜蒜
cue	餐巾纸
cuh	刺激性
crh	参考系
crj	才可以\t采矿业
cis	材料厂
ciu	测力计
cia	村里人
cit	草绿色
cmn	参谋部
cmg	催命鬼
cmf	草木灰
cml	侧面图
cmd	催眠术
cme	参谋长
com	草泥马\t操你妈
cpe	裁判长
cpj	裁判员
cyg	存钱罐
cys	菜青虫
cyu	此期间\t磁倾角
cya	词嵌入
cao	凑热闹
cln	错题本
clu	错题集\t催吐剂
cli	磁通量
clw	村通网
cdf	草珊瑚
cds	菜市场
cdi	藏书楼
cdl	侧视图
cdd	脆生生
cep	粗制品
cey	参政权
cel	财政厅
cew	参照物
ceh	参照系
cwk	错误的
cwr	财务科
cwd	财务室
chg	雌小鬼
chi	词向量
chl	粗线条
chw	粗纤维
cjf	参议会
cjm	曾用名
cjd	此一时
cje	从业者
cjv	菜园子
cvx	操作符
cvi	存在了
cvd	操作数
cvh	操纵性
cvj	操作员
kzf	冬奥会
kzv	德昂族
knz	多巴胺
knw	大比武
kcn	电磁波
kcc	低层次
kcz	带刺儿
kcg	打草稿
kcs	电磁场
kca	稻草人
kcl	电磁铁
kch	电磁线
kcj	大草原
kkn	党代表
kkz	打盹儿
kkg	打短工
kks	电动车
kku	电动机
kkr	地对空
kkm	大动脉\t担担面
kka	当地人
kkt	打哆嗦
kkj	大电影\t地动仪
kzi	第二轮
kzl	第二天\t德尔塔
kze	第二种
kzw	第二位
kzh	第二性
kzj	第二页\t第二眼
kxz	丢份儿
kxp	豆腐皮
kxv	大分子
kgu	地锅鸡
kgi	大概率\t大功率
kga	德国人
kgl	跌跟头
kgh	等高线
kgj	地沟油
kfu	打火机
kfr	对话框
kfp	动画片\t大红袍
kfy	打哈欠
kfl	大后天
kfe	到会者
kfh	导火线
kfv	大胡子
ksn	低成本
ksx	蛋炒饭
ksm	倒插门
ksl	底朝天
kun	登记表\t单肩包\t单机版
kuk	打交道
kum	大静脉
kup	挡箭牌
kut	大奖赛
kuw	东京湾
kuh	对角线
kuj	等价于\t都江堰
krz	笛卡尔
krf	大括号
krs	大客车
kix	代理费
kis	独轮车
kio	地拉那
kmg	大满贯
kmf	大明湖
kmu	独幕剧
kma	大忙人
kml	多媒体\t多模态\t多面体
kmd	多面手
kme	大拇指
kmh	大模型
kon	挡泥板
kox	东南风
kos	电脑城
kou	低年级
koi	多年来
kod	斗牛士
kow	逗你玩
kov	动脑子
kps	电瓶车
kpr	短平快
kpi	得票率
kpm	大屏幕
kyk	多渠道
kyz	逗趣儿
kyx	盗窃犯
kyo	短期内
kyp	当权派
kan	电热杯
kax	大润发
kag	大染缸
kao	地热能
kay	电热器
kal	大热天\t电热毯
kaw	大人物
kah	得人心
kav	电褥子
ktc	第三次\t第四次
kts	大扫除
kti	第三轮
ktm	第三名
ktp	打算盘
ktv	大嫂子
klc	大头菜
klk	带徒弟
klx	打头风
klg	打通关
klu	大团结
klp	打头炮
kla	带头人
klv	独体字
kdc	多少次
kdz	大婶儿
kdg	多少个\t大使馆
kdi	大赦令
kdo	迪士尼\t多少年
kdp	打水漂
kdl	电视台
kde	董事长
kdv	独生子
kex	大丈夫
ker	打折扣
kep	豆制品
kee	打转转
kew	动植物
kwn	德文版
kwc	第五次
kwz	对味儿\t大腕儿\t短吻鳄
kwx	抖威风
kwg	单位根
kwf	党委会
kws	大碗茶
kwm	对我们
kwp	电蚊拍
kwy	大湾区\t电位器
kwt	毒瓦斯
kwd	多位数
khc	灯心草
kjf	多元化\t多样化\t等一会
kju	打印机\t大妖精
kjr	弹药库
kjm	第一名\t第一面\t大银幕
kjt	递眼色
kjl	第一天\t钓鱼台
kjd	第一手
kjh	等一下\t打游戏
kvn	电子表\t大字报\t大资本
kvz	肚子饿
kvx	弹子房
kvg	电子管
kvs	电子厂
kvr	丁字裤\t大字库
kvt	淡紫色\t大赠送
kvl	大总统
kvd	电子书
kvh	电子学
kvv	刀子嘴
znh	二不休
zcx	二次方
zke	二地主
zkh	二叠系
zkj	耳朵眼
zxk	二房东
zga	俄国人
zgt	恩格斯
zug	二极管
jud	已经是\t也就是\t一件事\t有件事\t一键式
zis	鄂伦春
ziu	二〇九
zii	二〇六
zal	二人台
zae	二人转
ztu	耳塞机
ztv	二三子
zll	儿童团
zlh	儿童学
zdf	二手货
zem	二周目
zwk	额外的
zwd	耳挖勺
zwv	耳挖子\t二五仔
zhx	儿媳妇
zhd	二项式
zjg	耳咽管
zji	二元论
zjt	二元酸
zjh	二义性
xzi	发案率
xnf	发布会
xnu	发报机
xna	发包人
xnl	副标题
xnv	诽谤罪
xcc	分层次
xcw	犯错误
xkn	辅导班
xkc	发大财
xkf	负电荷
xky	放大器
xkt	防盗锁
xkl	非导体
xke	犯得着
xzu	伏尔加
xzl	伏尔泰
xxu	防腐剂
xxi	方法论
xgc	风滚草
xgg	腹股沟
xgu	房管局
xga	法国人
xgw	发改委
xfk	服化道
xfx	复合肥
xfs	符号串
xft	复活赛
xfd	反函数
xfh	缝合线\t复合型
xsp	副产品
xsl	非传统
xsw	副产物
xsj	翻车鱼
xsv	方程组
xus	飞机场
xuy	风景区
xua	福建人
xud	福建省
xue	附加值
xrn	防空兵
xrc	发刊词
xrx	封口费
xrf	方括号
xrl	方框图
xig	防蓝光
xiu	费老劲\t放冷箭\t法律界
xir	法兰克\t弗兰克
xia	法兰绒
xil	翻了天\t非流通\t分馏塔
xid	分列式
xie	分裂症\t珐琅质
xmn	犯毛病
xmf	犯迷糊
xmu	发明家
xmd	分明是
xme	发明者
xon	疯牛病
xow	放牛娃
xpx	分配阀
xpp	粉扑扑
xpe	废品站
xpv	覆盆子
xya	发起人
xyh	反倾销
xag	法人股
xas	非日常
xaj	疯人院
xav	非人哉
xtk	分散度
xtg	复色光
xtf	风俗画
xtu	粉碎机
xtl	仿宋体
xlx	肥田粉
xlf	法塔赫
xli	反推力
xlo	芬太尼
xly	佛跳墙
xdi	分水岭\t番石榴
xdh	放射性
xek	分至点
xez	分之二
xeg	发展观
xes	纺织厂
xeu	纺织机
xer	风疹块
xeo	非智能\t分钟内\t纺织娘
xep	纺织品
xea	负债人
xet	分之三\t分之四
xew	附着物
xev	反质子
xwn	服务部
xwc	方位词
xwu	蜂王浆
xwm	蜂窝煤
xwo	犯为难
xwe	反物质
xwh	服务性
xwj	服务员
xhr	复选框
xha	负心人
xhl	芳香烃
xhe	副县长
xhv	风信子
xjn	防雨布\t放一边
xjs	放映场
xjp	仿羊皮
xjd	放映室
xje	防疫站
xjj	发源于\t发语音
xjv	飞叶子
xvk	复杂度
xvi	副总理
xvp	肥皂泡
xvl	副总统
xvd	分子式
gzn	公安部
gzu	公安局
gzt	谷氨酸
gnw	官本位
gcn	公测版
gcc	高层次
gcx	构词法
gce	观测站
gcj	高层云
gkn	高蛋白
gkz	骨朵儿
gkx	鬼地方
gkg	高低杠
gkf	挂电话\t干得好
gks	干电池
gku	供电局
gka	滚刀肉\t广东人
gkw	各单位
gzk	共轭点
gzx	高尔夫
gzv	干儿子
gxn	国防部
gxx	国防费
gxu	鼓风机
gxp	功夫片
gxa	贵妇人
gxd	公费生
gxj	光反应
gxv	高分子
ggk	怪怪的\t感光度
ggf	刚果红
ggu	骨骼肌\t呱呱叫
ggo	乖乖女\t肝功能
ggp	感光片
gge	观光者\t搞搞震
ggj	归功于
gfn	高回报
gfk	共和党
gfz	过会儿
gfx	鬼画符
gff	骨灰盒\t鬼画糊
gfr	更何况
gfi	搞混了
gfy	高寒区
gfj	各行业
gfv	古惑仔\t刮胡子
gss	工程车
gsm	干吃面
gsp	观潮派
gst	观察所
gsl	高产田
gsh	工程学
gsj	观察员
guc	关键词\t供给侧
guk	根据地
guz	够劲儿
gux	公检法\t过节费
gui	攻击力
guy	轨迹球
gua	工具人
guh	工具箱
guj	关节炎
gri	怪可怜
gic	芥蓝菜
gik	高利贷
gif	规律化
gip	改良派
giy	管理器
gil	过两天
gid	橄榄石
gih	规律性
giv	仡佬族
gmc	灌木丛
gmx	归谬法
gmf	规模化
gmu	革命家
gmp	革命派\t古墓派
gma	郭沫若
gmv	给面子
gon	工农兵
goc	国难财
goz	干女儿
gox	归纳法
gof	高能耗
gou	功能键\t功能机\t跟你讲
goi	归你了\t给你了
gol	官能团
god	弓弩手
goj	工农业
gpf	搞破坏
gyx	国旗法
gyy	钢琴曲
gai	感染力
gay	过热器
gal	固溶体
gaw	赶任务
gtr	哥萨克
gdm	干什么\t搞什么\t赶时髦
gty	钢丝球
gta	甘肃人
gtd	甘肃省
gtj	硅酸盐
glz	个头儿
glg	高碳钢
gly	国统区
gld	共同社
glh	共同性
glj	共同语
gdf	格式化\t公式化
gds	过山车
gdp	高水平
gdy	感受器
gda	高收入
gdh	观赏性
gdj	观世音
gdv	高山族
gec	鬼针草
gei	高质量
gey	公债券
gea	贵州人
ged	贵州省
gew	胳肢窝
gej	更重要
gwc	狗尾草
gwk	高纬度
gwz	够味儿
gwg	过五关
gwf	管委会
gwu	港务局
gwi	归我了
gwp	歌舞片
gwy	国务卿
gwv	古文字
ghn	冠心病
ghk	关系到
ghx	高消费
ghg	共析钢
ghs	肝吸虫
ghu	干血浆
ghp	革新派
gha	广西人
ght	干休所
ghl	观象台
ghw	关系网
ghj	高血压\t更需要\t管弦乐
ghv	工薪族
gjo	圭亚那
gjt	够意思
gjw	广域网
gjv	锅烟子
gvk	工作队
gvx	工作服
gvg	够资格
gvu	干燥剂
gvm	工作面
gva	工作日
gvl	高姿态
gvj	归罪于
gvv	工作组
fzk	海岸带
fzd	毫安时
fnp	黑白片
fcc	黄灿灿
fci	黑材料
fcd	何曾是
fch	何曾想
fcj	喉擦音
fkn	合订本\t画大饼
fkk	好端端\t黄澄澄\t黄赌毒
fkx	活动房
fkg	核大国
fku	蝴蝶结
fkr	红点颏
fkm	横断面
fkp	幻灯片
fky	红灯区
fkd	还得是
fzm	荷尔蒙
fxg	花粉管
fxf	合法化
fxp	护肤品
fxd	核辐射
fxe	黑非洲
fxw	挥发物
fxj	挥发油
fxv	坏分子
fgz	黑格尔
fgs	化工厂
fgu	烘干机
fgo	灰姑娘
fgt	核苷酸
fgh	回归线
fgj	花岗岩
ffc	黄花菜
ffz	好好儿
ffo	活化能
ffy	混合器
ffh	互换性
fsz	合成氨\t话茬儿
fsc	合成词
fsl	火车头
fuc	好几次
fug	后脚跟\t活见鬼
fui	好极了\t含金量
fup	火箭炮
ful	好几天
fud	候机室
fuv	花架子
frx	后空翻
frf	花括号
fry	航空器
fin	胡萝卜
fik	红绿灯\t惠灵顿
fiz	海拉尔
fix	活雷锋
fir	海陆空
fio	火烈鸟
fia	后来人
fil	昏了头
fiw	互联网\t好莱坞
fmz	黑木耳
fmi	宏命令\t红美铃
fml	河漫滩
fmd	黑墨水
fmv	红帽子
fof	华南虎
fop	贺年片
foa	河南人\t湖南人\t海南人
foh	海南戏
fpf	后怕虎
fpy	混频器
fpt	琥珀酸
fph	海平线
fyn	后勤部
fyz	好气儿\t霍青娥
fyu	活全家
fym	横切面
fyt	很轻松\t花青素
fyv	后勤组
fai	核燃料
fal	怀仁堂
fav	好日子
ftr	哈萨克
ftp	贺岁片
fln	航天部
flk	黄土地
flp	黄土坡
fly	航天器
fle	航天站
flh	后天性
flj	绘图仪\t和田玉
fdn	寒暑表
fdk	华盛顿
fdy	哈士奇\t回收期
fdd	活生生
fep	化妆品
fed	或者说
fee	红蜘蛛
fev	互助组\t汗珠子
fwz	好玩儿
fwf	环委会
fwu	好望角
fwl	环烷烃
fhc	含羞草
fhk	后现代
fhz	混血儿
fhu	滑翔机
fhl	活性炭
fhe	回形针
fjc	花椰菜
fjk	好样的
fju	还原剂
fjr	会员卡
fjm	还有吗\t薅羊毛
fja	黑衣人
fjl	合议庭
fjd	会议室
fjh	好一些\t换一下
fjv	旱鸭子
fvn	横坐标
fvk	活字典
fvg	很糟糕
fvs	火葬场
fvi	后坐力
fvl	孩子头
fvd	合作社
fvw	孩子王
snz	成本额
snw	出版物
scu	除草剂
sci	出错了
skn	充电宝
skz	差点儿
skx	臭豆腐
skf	吃大户
ska	成都人
skl	超导体
ske	充电桩\t传动轴
skw	超低温
skj	差得远
skv	出点子
sxk	出发点\t唱反调
sxf	超负荷
sxu	吹风机
sxl	出风头
sxh	长方形
sxj	处方药
sgk	唱高调
sgi	成功率\t车轱辘
sgy	传感器
sfk	闯红灯
sfz	创汇额
sfi	成活率
ssh	尝尝鲜
sun	冲击波\t传家宝
suz	冲劲儿
sug	成就感
sui	成交量\t冲击力\t长颈鹿
sua	出家人
suw	沉积物
srz	出口额
srd	出口商
sik	船老大
sig	陈列馆
sid	常绿树
siv	车厘子\t出乱子
smn	触摸板\t出毛病
smz	串门儿
smx	车马费
smu	赤霉菌
smi	重码率
smy	出满勤\t赤蛮奇
sma	长毛绒
smt	赤霉素
sml	长毛兔
smh	长毛象
sok	处女地
sol	出难题
soj	出纳员
spz	唱片儿
spi	成品率
syz	出圈儿
syf	拆迁户
syy	串亲戚
sya	重庆人
syh	长期性
saf	成人化
saa	产褥热
saj	传染源
sto	重孙女
slx	穿堂风
slf	常态化
slu	铲土机
slw	长筒袜
sdx	长舌妇
sdf	初始化
sdr	超时空
sdi	出生率
sel	差转台
swn	纯文本\t超文本
sws	超外差
swm	崇文门
swe	绸纹纸
swj	乘务员
shf	程序化\t畅销货
shs	吃现成
shr	储蓄卡
shm	肠系膜
sha	出血热
sjc	臭氧层
sjs	尝一尝\t铲运车
sju	柴油机
sjy	吃一堑
sja	承运人
sjd	倡议书
sje	创业者
sjh	成瘾性\t出洋相
sjj	炒鱿鱼
svs	出租车
sva	超自然
svj	沉醉于\t吹奏乐
unn	紧巴巴\t紧绷绷
unc	基本词
unk	见不到\t见不得
unu	肩并肩
unm	聚苯醚
unp	聚宝盆
una	接班人
unt	锦标赛
unl	吉布提
unw	金本位
unv	脚脖子
ukn	脚底板
uks	机动车
ukl	进度条
ukw	井底蛙
ukv	金点子
udz	就是啊
udk	就是得
udf	就是好
uzf	京二胡
uzs	假恶丑
udi	就是了
udo	就是你\t几十年
uzl	基尔特
udd	就是说
ude	就是这\t救世主
udw	就是我
udh	就是想\t就是像
udj	就是要\t驾驶员
udv	就是在
uxn	积分榜\t计分表
uxf	解放后
uxs	缴费处
uxw	金饭碗
uxj	经风雨
ugn	极个别\t金箍棒\t激光笔
ugk	聚光灯
ufc	金花菜
ufk	较好地\t交汇点\t救护队
ufz	绝活儿
ufx	季候风
uff	金合欢
ufr	军火库
ufo	计划内
ufy	净化器
uft	金黄色\t季后赛
ufw	计划外\t聚合物
uss	计程车
usu	警察局
uuz	较劲儿
uup	激进派
urf	进口货
ura	健康人
urw	教科文
urh	杰克逊\t健康险
uik	家里蹲\t交流电\t金銮殿
uix	节流阀
uif	交流会
uiu	教练机
uir	居留卡
uim	卷帘门
uio	近两年
uiy	居留权
uit	降落伞
uil	交流团\t截了图
uid	吉林省
uih	纪律性
uij	教练员
uiv	举例子
umc	健美操
uma	掘墓人
umt	佳木斯
ume	几秒钟
uok	加拿大
uoa	纪念日
uot	吉尼斯
uoj	几内亚
uov	基诺族
ups	吉普车
upt	吉普赛
upe	柬埔寨
uph	紧迫性
upv	景颇族
uyi	进去了
uyp	剧情片
uyy	静悄悄
uyd	精气神\t举起手\t剧情杀
uyj	腱鞘炎
uaf	尖锐化
uah	兼容性
utn	加速泵
utk	加速度\t集散地
utg	就算个
uts	计算尺
utp	惊悚片\t绞丝旁
uta	江苏人
utl	计算题
ute	近似值
utj	金丝燕
ulu	交通局
uli	景泰蓝
ulo	几天内
ulh	警惕性
ulv	简体字
udn	记事本
udx	健身房
udy	解释器
uep	精制品
uwy	界外球
uhn	进修班
uhi	接下来
uha	江西人
uhd	江西省
uhw	吉祥物
uhh	局限性\t间歇性\t假惺惺
uhv	急性子
ujn	进一步
ujc	近义词
ujx	九月份
