#星辰双拼专用成语简码（由 chengyu.txt 按星辰声母键重映射）
niuo	步履艰难
niud	本来就是
nirx	暴力抗法
niru	不落窠臼
niis	波澜老成
niii	筚路蓝缕
niie	不了了之
nimu	白蜡明经
nimm	本来面目
nimd	百龄眉寿
nime	摆龙门阵
nipd	步履蹒跚
niyk	布里奇顿\t百了千当
niyx	波澜起伏
niym	不留情面
niya	壁立千仞
niyd	博览群书
niad	髀里肉生
niaj	表里如一
nidk	表里受敌
nitz	布鲁塞尔
nidf	表里山河
nidi	抱令守律
nidt	不露声色
nitl	巴勒斯坦
nidl	拨乱视听
nitj	壁垒森严
nilf	白里透红
nilj	百里挑一
nieu	不吝指教
nier	波澜壮阔
niws	逼良为娼
niwu	步履维艰\t表里为奸
niwd	白露为霜
niwh	包罗万象
niwj	别来无恙\t暴露无遗
niwv	不立文字
nihg	不良习惯
nihm	伯乐相马
niho	半老徐娘
nihw	玻璃纤维
nijk	不留余地
nijx	白龙鱼服
nijt	不利因素
nije	表里一致
nijw	本来以为
nivs	不良资产
nivt	暴戾恣睢
nivw	霸陵醉尉
niej	不吝珠玉
nmnn	不明不白
nmns	闭门不出
nmne	不蔓不枝
nmnh	半梦半醒
nmnj	背盟败约
nmss	北面称臣
nmsm	摆明车马
nmsd	病魔缠身
nmsj	白眉赤眼
nmke	本末倒置
nmzf	不谋而合
nmzd	不默而生
nmgk	筚门闺窦
nmgg	病民蛊国
nmgt	笔墨官司
nmfg	闭门酣歌
nmfj	白旄黄钺
nmug	八面见光
nmua	薄命佳人
nmud	拔毛济世
nmix	八面来风
nmii	八面玲珑
nmia	拔茅连茹\t拔毛连茹
nmmu	闭门觅句
nmox	班门弄斧
nmod	不瞒你说
nmoj	北门南牙
nmyt	闭门却扫
nmye	不谋其政
nmdk	八面受敌
nmdx	八面驶风
nmtg	闭门思过
nmdr	表面上看
nmdi	不明事理
nmdd	白面书生
nmtl	闭目塞听
nmtj	北门锁钥
nmlh	闭门投辖
nmek	不毛之地\t不牧之地
nmee	百忙之中\t拔苗助长
nmeh	不明真相
nmej	笔墨纸砚
nmwk	兵马未动
nmwx	八面威风
nmwe	表面文章
nmwv	白马王子
nmhs	宝马香车
nmhh	表面现象
nmjs	八面莹澈
nmjy	不名一钱
nmjl	八面圆通
nmjw	不名一文
nmjh	变名易姓
nmvs	闭门造车
nmeu	半面之交\t半面之旧
nmei	八面张罗
nmeo	摽梅之年
nmvj	不鸣则已
nonu	不年不节
nono	不男不女
nonj	百年不遇
nosx	百鸟朝凤
noku	百年大计
nozw	不怒而威
noff	百年好合
nouz	不念旧恶
nouf	百念皆灰
nors	不难看出
nooj	百年难遇
nodx	搬弄是非
noda	百年树人
notv	八难三灾
nowk	暴虐无道
nowy	不能瓦全
nowd	不宁唯是
nohx	笨鸟先飞
nohi	百年偕老
nohh	不难想象
novn	不能自拔
noen	百年之柄
noef	百年之好\t百年之后
noem	搏牛之虻
novw	不怒自威
novj	不能自已
npnk	不偏不党
npni	不破不立
npnp	不怕不怕
npnj	不偏不倚
npsu	剥皮抽筋
npun	补偏救弊
npui	鞭辟近里
npiu	杯盘狼藉
npmv	宾朋满座
npai	鞭辟入里
npde	抱朴守拙
npjl	白跑一趟
npjw	不怕一万
npvm	不平则鸣
nyzd	不欺暗室
nyns	不清不楚
nynf	半青半黄
nyno	不屈不挠
nysc	拔群出萃
nycm	不弃草昧
nyky	补阙灯檠
nykw	博洽多闻
nykh	不确定性
nyzm	不擒二毛
nyza	不期而然
nyze	不期而至
nyzj	不期而遇
nyxm	避其锋芒
nyxd	百犬吠声
nygj	薄情寡义
nyfn	不求回报
nyfs	步其后尘
nyfk	暴取豪夺
nyie	鼻青脸肿
nyih	屏气敛息
nyme	兵强马壮
nyod	屏气凝神
nyyy	百巧千穷
nyay	避其锐气
nytf	巴前算后
nydu	不切实际\t不求甚解
nytj	版权所有
nydj	补阙拾遗
nyeg	比起这个\t贝阙珠宫
nyey	不情之请
nyej	霸权主义
nywk	不求闻达
nyhg	不期修古
nyjg	不求有功
nyju	冰清玉洁
nyja	冰清玉润
nyef	跋前踬后
nyvi	不请自来
nyvj	不起作用
nans	悖入悖出
nant	勃然变色
nanh	倍日并行
nanj	不仁不义\t不日不月
nakf	不然的话
nako	勃然大怒
nakw	哺乳动物
nazd	并日而食
naxi	勃然奋励
naxd	不容分说\t髀肉复生
nagf	病入膏肓
nagy	不如归去
nagt	病入骨髓
nagj	蔽日干云
nafs	步人后尘
nafu	薄弱环节
nafd	不容忽视
nafh	不入虎穴
naug	白日见鬼
nain	傍人篱壁
naig	不容乐观
pamf	傍人门户
naaj	不如人意
nadm	不辱使命
nadl	白日升天
nadj	不入时宜
naeg	步入正轨
naef	不容置喙
naed	不忍直视
naej	不容置疑
nahu	兵戎相见
nahi	避让贤路\t巴人下里
nahy	不容小觑
najd	不容有失
